episode,run_0
500,-142.9024352247895
1000,-142.49117117430131
1500,-129.3711578192918
2000,-69.68724378712768
2500,-61.848253644714134
3000,-58.279931054368774
3500,-62.735719676183855
4000,-58.57745845892592
4500,-52.1457658974629
5000,-46.02211254785126
5500,-44.55957191196743
6000,-45.82714049574704
6500,-46.75677079389812
7000,-43.86876105974344
7500,-42.93706642382082
8000,-48.58592123393521
8500,-44.56788094443638
9000,-42.442765840091496
9500,-43.21986278003298
10000,-43.78302036720687
10500,-48.185167442804335
11000,-41.75794794775839
11500,-41.084362543051434
12000,-41.791953376585084
12500,-45.24938502438512
13000,-43.374991165746124
13500,-44.3523467543515
14000,-41.19910756755531
14500,-42.50938982629533
15000,-44.36680851041892
15500,-43.7089977129913
16000,-45.68216669665462
16500,-43.141042596014735
17000,-42.89977697123723
17500,-42.91920228903143
18000,-45.23244563721535
18500,-44.1049603274219
19000,-42.26517819853018
19500,-44.942281762692815
20000,-44.22183746961164
20500,-40.594458032018565
21000,-45.85053839687869
21500,-42.66910196157574
22000,-44.665136729187125
22500,-41.90130727671454
23000,-46.54123704900393
23500,-41.75042433625547
24000,-44.8688136923406
24500,-41.4604456776884
25000,-40.479900128218546
25500,-44.584143146586776
26000,-40.88923439229016
26500,-44.415930731680575
27000,-47.589000831592436
27500,-43.799144346324695
28000,-42.31213904966571
28500,-43.8878140791927
29000,-47.19410126534427
29500,-42.89898560806706
30000,-42.793468511039535
