episode,run_0
500,-150.90587138699217
1000,-144.72798874825273
1500,-138.50475577534164
2000,-67.20406105952938
2500,-64.51602657761525
3000,-60.72619639446524
3500,-65.27518904229412
4000,-63.624735195738005
4500,-62.990686956134056
5000,-60.46985601060823
5500,-61.41066106626904
6000,-61.91032864878724
6500,-64.94466065638996
7000,-60.65019799397197
7500,-59.118109423592685
8000,-67.11643452162636
8500,-61.43618440066502
9000,-61.337322827755905
9500,-63.4196494401504
10000,-59.97539789526849
10500,-62.58865218403061
11000,-58.98437286916196
11500,-59.90782290741098
12000,-61.17336300721391
12500,-67.23963604668141
13000,-66.3448862435145
13500,-72.71107611937015
14000,-65.85186017392184
14500,-63.94648605165916
15000,-67.66381838125845
15500,-63.968495954570706
16000,-67.22730878572285
16500,-65.57185573918696
17000,-64.06138593423522
17500,-64.99613673532357
18000,-66.00269918324638
18500,-68.49676542418023
19000,-64.89479730352116
19500,-69.51825900606086
20000,-66.68209051870394
20500,-64.78563677237572
21000,-71.95553814416421
21500,-69.76889505320493
22000,-74.9037301411754
22500,-76.93793839248805
23000,-77.70800167523164
23500,-74.59979905782363
24000,-75.33502337258768
24500,-73.49435667525518
25000,-73.1842061601926
25500,-80.87731968364093
26000,-79.4259022385426
26500,-81.11170164545253
27000,-85.9373096553988
27500,-84.79790195549324
28000,-77.83539497677556
28500,-77.97594777940643
29000,-88.41755405785723
29500,-86.36772073170067
30000,-80.34612199410662
30500,-84.90250245528135
31000,-82.64182671373055
31500,-84.8027705893674
32000,-87.4025800578977
32500,-91.08231751310684
33000,-85.39649670178375
33500,-85.03224696848464
34000,-84.35971198009626
34500,-93.67476981290511
35000,-90.62077654775874
35500,-84.54161764709998
36000,-78.97846411507957
36500,-82.12456124544383
37000,-80.4122086362116
37500,-86.6793943558089
38000,-81.50414046744132
38500,-84.98679701108887
39000,-83.33388467061447
39500,-80.09420612076723
40000,-77.27505034816596
40500,-79.36344367902625
41000,-80.21115932139313
41500,-84.65399918778694
42000,-79.43472702501583
42500,-83.57679078258575
43000,-83.19183036155091
43500,-82.1013482284563
44000,-85.74975831727197
44500,-89.26629809992637
45000,-85.75206370462256
45500,-90.16279018841975
46000,-84.81972563262704
46500,-85.51289243334037
47000,-88.10394404291212
47500,-86.17826793234042
48000,-85.53744489343477
48500,-84.0127268040153
49000,-80.3414931053454
49500,-87.98666309826172
50000,-84.1593903050187
50500,-86.52180199111568
51000,-83.04178203597965
51500,-86.89055539017139
52000,-84.01564981293983
52500,-87.06647777598334
53000,-81.6336747428452
53500,-88.44898011720768
54000,-87.04430877094325
54500,-88.28317470474745
55000,-84.07951404216416
55500,-93.33316549534638
56000,-91.25957002777308
56500,-87.64566103845611
57000,-86.52421665087772
57500,-87.1513463330813
58000,-87.51922854803956
58500,-87.89609165278958
59000,-88.12074883317881
59500,-87.06371194099663
60000,-88.20970060952308
