episode,run_0
500,-700.8693745758032
1000,-695.6661743055199
1500,-794.3680858241013
2000,-734.8768997114233
2500,-617.6206570032041
3000,-589.9383332267521
3500,-584.5582427794801
4000,-560.7758810671535
4500,-552.8262956974536
5000,-548.0233089389286
5500,-535.7015018283018
6000,-533.2599770374112
6500,-526.643937713677
7000,-532.9841507130693
7500,-520.372938789243
8000,-520.9010390283026
8500,-513.3410506669514
9000,-515.5366296664407
9500,-507.16756172086997
10000,-503.3672824444959
10500,-495.0649591748112
11000,-491.41545817369627
11500,-491.54335182950166
12000,-489.77948523097183
12500,-485.16985611055605
13000,-483.1539348924281
13500,-475.6840079737129
14000,-478.1467030250582
14500,-478.96902323233354
15000,-479.86448050517066
15500,-471.2226898228497
16000,-465.99475787632866
16500,-471.37159614069645
17000,-467.93892082893046
17500,-463.53021667317347
18000,-464.99469209250304
18500,-466.9674303422261
19000,-471.0374464826768
19500,-463.8351482081489
20000,-462.83752293421736
20500,-458.0133466433297
21000,-461.92030564802127
21500,-461.7342375029322
22000,-456.9340110604995
22500,-463.9360782539296
23000,-460.06811068270315
23500,-462.5114264272005
24000,-457.6435896446783
24500,-459.4150453366486
25000,-458.48456013799336
25500,-453.32130823078603
26000,-457.6028882021683
26500,-458.9690601775934
27000,-453.75850217276457
27500,-452.16623501869225
28000,-455.55074852742695
28500,-455.13413779563075
29000,-455.27080721553926
29500,-453.7105568244959
30000,-454.78142131224627
30500,-456.91360051350233
31000,-458.1563947782442
31500,-447.12091222659063
32000,-454.2243572223817
32500,-452.8577986641058
33000,-452.4888073668167
33500,-449.7146156912734
34000,-449.02381496184836
34500,-448.4169215786335
35000,-449.9598728300262
35500,-444.55633570481956
36000,-445.983195682485
36500,-442.1875542331667
37000,-450.20096888614887
37500,-442.446814885296
38000,-451.7749211486778
38500,-444.2066214817665
39000,-443.9756961221935
39500,-440.2059528346212
40000,-438.434844457741
40500,-445.4027792160347
41000,-438.8824565026729
41500,-438.1684912077748
42000,-441.560750742565
42500,-440.1229812184585
43000,-435.882463853555
43500,-436.93570423204545
44000,-440.4733429411691
44500,-441.21661937546776
45000,-436.60936084899595
45500,-436.51719177544084
46000,-438.6458785642212
46500,-437.3718100702341
47000,-436.92427368222144
47500,-432.0726022744407
48000,-435.7108511244918
48500,-437.19633941518293
49000,-439.79906416011147
49500,-438.35764621088583
50000,-439.7258898584356
50500,-438.0454860204771
51000,-436.94398037421695
51500,-437.6626880756618
52000,-437.34669569422124
52500,-439.0171622103115
53000,-432.88248893425896
53500,-431.30036952472057
54000,-429.86948593237133
54500,-435.9917880481295
55000,-434.12065528489404
55500,-431.2043548385364
56000,-426.271329014001
56500,-433.25539107147404
57000,-426.2083937223989
57500,-425.1913620293336
58000,-424.3793954792441
58500,-424.6733345034302
59000,-418.2637123457325
59500,-424.5150966372864
60000,-422.9665949790245
