episode,run_0
500,-27.429325283486897
1000,-28.605945072751346
1500,-27.489047199798502
2000,-15.346009802816662
2500,-12.145316839333638
3000,-9.519281891551804
3500,-9.548902910848705
4000,-9.731569613396644
4500,-9.215503293873134
5000,-9.414361456670125
5500,-9.403343942111354
6000,-8.993452817350997
6500,-9.098588207224076
7000,-9.028002201409544
7500,-9.304435634893943
8000,-9.514509727045683
8500,-9.055714874949855
9000,-9.66034400051388
9500,-9.589580845321933
10000,-9.352055057821756
10500,-8.68569539482333
11000,-9.47028916541384
11500,-8.962321799547809
12000,-9.300851941244996
12500,-9.248491942288993
13000,-9.501053628242522
13500,-9.310466138376981
14000,-9.300012261627813
14500,-9.006736152219677
15000,-8.925759960118452
15500,-8.907691154396964
16000,-9.06304459169531
16500,-9.043804165938875
17000,-9.158600958394866
17500,-8.860890624544322
18000,-8.883405319419829
18500,-8.820837026560627
19000,-8.702120379592717
19500,-9.182250054776341
20000,-9.173920921708179
20500,-9.375013007926162
21000,-9.176500882423666
21500,-9.120616726959923
22000,-9.005506971119527
22500,-8.720431246881871
23000,-8.894483257570208
23500,-8.739847789244523
24000,-9.01499157217738
24500,-8.719799782754839
25000,-9.303076186766924
25500,-9.045469067967963
26000,-8.947537375162641
26500,-9.367794928979558
27000,-8.876191608334327
27500,-8.859770911875213
28000,-9.057305203849126
28500,-8.719564843674204
29000,-8.757623392105792
29500,-9.087897054492057
30000,-9.111063389988557
