episode,run_0
500,-33.30692961722864
1000,-33.771037603802256
1500,-23.62263595433507
2000,-12.684979804507908
2500,-12.883748421594591
3000,-13.61263149045048
3500,-9.795893582732836
4000,-9.329255208235544
4500,-11.162787874273377
5000,-27.190091311595715
5500,-24.928631621043646
6000,-16.581947875001227
6500,-21.389505002487777
7000,-15.804912323113442
7500,-20.593005530227433
8000,-28.933967204162787
8500,-27.009540709417774
9000,-26.78490324734264
9500,-25.511902134321083
10000,-25.644018053319595
10500,-25.40771151331834
11000,-25.617186346806083
11500,-26.496183757220333
12000,-25.1132607784
12500,-26.038084248883216
13000,-26.639641914669912
13500,-27.64495870974643
14000,-26.970976659865745
14500,-26.106831755243658
15000,-25.982528108784578
15500,-25.262312121201024
16000,-24.48102324380725
16500,-25.968927249499693
17000,-25.51435511590218
17500,-25.20272601963475
18000,-25.357391222012463
18500,-25.328102624069523
19000,-25.801793010423754
19500,-25.058392073243187
20000,-24.621425141532722
20500,-25.610440078524046
21000,-25.063815836503625
21500,-24.8399493594087
22000,-23.789055988447473
22500,-24.512949153567575
23000,-25.15290717196653
23500,-24.25695706800245
24000,-24.783554978902263
24500,-24.228744299397817
25000,-24.769797357864125
25500,-26.435803061452813
26000,-25.84122457794569
26500,-25.561739273706692
27000,-23.879240509257286
27500,-25.17514575664002
28000,-24.694132859137593
28500,-24.148583672738667
29000,-24.520976680705832
29500,-24.521146848859267
30000,-25.238966168739164
