episode,run_0
500,-22.556980187019533
1000,-22.307567388370483
1500,-18.248520655502617
2000,-16.630014472514805
2500,-16.72737076948087
3000,-17.031738949787286
3500,-16.087937675175958
4000,-11.07616206415428
4500,-7.947576587800521
5000,-6.23607829358316
5500,-5.408267831189414
6000,-7.691992721995842
6500,-7.911806638249389
7000,-6.653771653282737
7500,-7.895721479685792
8000,-6.634812529620974
8500,-8.00854657778789
9000,-7.488063931630733
9500,-7.254637796651133
10000,-7.382447820489332
10500,-8.444999345385144
11000,-6.015864985525129
11500,-6.644372494765592
12000,-7.537224005941658
12500,-7.08498654288581
13000,-8.530107192075317
13500,-6.002130751944427
14000,-6.975862557365699
14500,-5.958793817447847
15000,-6.260236786295127
15500,-6.317744825745875
16000,-7.0883568528539
16500,-6.386790578004778
17000,-6.2746760431218735
17500,-6.66233784928931
18000,-5.076744979010401
18500,-5.013483595361012
19000,-4.448227040395974
19500,-6.371431606691672
20000,-5.178772102009274
20500,-5.397827632213823
21000,-3.938884850785641
21500,-4.686213809569027
22000,-5.103376150606632
22500,-3.3097935689847646
23000,-4.295786999635895
23500,-6.166904256868933
24000,-4.243630967204475
24500,-6.155020000935763
25000,-5.375142227707263
25500,-5.135001324856165
26000,-5.697629897736924
26500,-5.413761910967231
27000,-5.698711567825587
27500,-6.3896477735835555
28000,-6.02536508858721
28500,-7.078689864650689
29000,-7.011679301926549
29500,-6.845250506760884
30000,-6.956820057214976
