episode,run_0
500,-27.608375205056813
1000,-28.095851571041667
1500,-25.71917932749931
2000,-14.251030659250892
2500,-12.261804878192168
3000,-10.198598406958782
3500,-10.733506801721257
4000,-10.69765116132232
4500,-10.006847836623212
5000,-10.448122302352855
5500,-10.49614258252098
6000,-10.17323940877793
6500,-10.348174492934636
7000,-10.332878489724994
7500,-10.555897622937842
8000,-10.77717565912657
8500,-10.077595025826483
9000,-10.83086081757797
9500,-10.585053194676721
10000,-10.702298970600221
10500,-9.820739277850045
11000,-10.650495166141823
11500,-10.17057155049709
12000,-10.592284928828887
12500,-10.4139957546805
13000,-10.877377999876371
13500,-10.594892771096383
14000,-10.65390751261648
14500,-10.432731016445207
15000,-10.161049476599873
15500,-9.977277043246115
16000,-10.215734885144995
16500,-10.361639268433557
17000,-10.54023801464519
17500,-10.016498414471538
18000,-10.188927912486081
18500,-9.81170994823184
19000,-9.85512782301656
19500,-10.53546795282288
20000,-10.72226802423874
20500,-10.692963590071342
21000,-10.637021179079245
21500,-10.456905988065863
22000,-10.424324636272592
22500,-10.025817788284979
23000,-10.0753300754692
23500,-10.057988040437387
24000,-10.447013481402259
24500,-10.240230193891266
25000,-10.67024634167428
25500,-10.366224855902674
26000,-10.330176757265091
26500,-10.875692474895917
27000,-10.497111692084516
27500,-10.602386331894671
28000,-10.448787184171595
28500,-10.04088891228369
29000,-10.141243633551841
29500,-10.64165398742128
30000,-10.454374550175165
