episode,run_0
500,-157.78158211425202
1000,-150.32511441364716
1500,-148.29289964656436
2000,-61.296492320764855
2500,-60.40041700294112
3000,-51.47686048153408
3500,-50.62140298747593
4000,-50.14064081240244
4500,-47.81358217925743
5000,-46.33312397051508
5500,-45.66693970385067
6000,-44.320167582288825
6500,-42.64634431240674
7000,-37.4298962278962
7500,-36.84666414663499
8000,-42.58231663570945
8500,-36.87377711575696
9000,-36.77142299622213
9500,-37.35686133709563
10000,-34.39597210442136
10500,-36.79381320845983
11000,-31.297795582673906
11500,-32.9798732869925
12000,-33.02841818023391
12500,-33.20348207828903
13000,-34.60613744388964
13500,-34.04782978788749
14000,-30.975659758411698
14500,-30.963194479648998
15000,-34.197541653219595
15500,-34.105985779520985
16000,-35.04098010371368
16500,-33.28802404108015
17000,-31.28080543618793
17500,-33.72529718680159
18000,-35.416685367718586
18500,-33.40767402125885
19000,-31.180772223641842
19500,-33.36934749113876
20000,-35.34071982004654
20500,-29.880259056433527
21000,-34.94069190884408
21500,-32.94129168481508
22000,-34.01166818681945
22500,-33.482919005771066
23000,-34.72662122471586
23500,-32.902571553577474
24000,-32.45105277603404
24500,-31.439839935174835
25000,-29.768161977238357
25500,-34.17750696247495
26000,-31.08577626416363
26500,-33.078706180152714
27000,-36.95246698549893
27500,-33.485416945251785
28000,-32.72543243726345
28500,-31.610177057793
29000,-35.96280492375698
29500,-34.234500000398214
30000,-33.216690062797284
