episode,run_0
500,-157.41730944353554
1000,-159.9375465756458
1500,-136.05287760900745
2000,-64.12816568766334
2500,-59.558222972966774
3000,-58.99610507624208
3500,-63.0603303029134
4000,-61.84184234952561
4500,-60.50346390296703
5000,-59.36692071174849
5500,-59.60786528853896
6000,-58.85493781040418
6500,-61.51147164339434
7000,-58.31213208317536
7500,-58.19309859585169
8000,-64.53901036707778
8500,-58.96485666027771
9000,-59.09902735696746
9500,-60.62765622742719
10000,-58.6998316928625
10500,-62.75055280072325
11000,-56.39435408705337
11500,-56.839460317007045
12000,-57.12755778814634
12500,-59.43807063682144
13000,-58.41416524722867
13500,-59.591068229873216
14000,-59.042261104918225
14500,-57.83420223367822
15000,-61.28146814926707
15500,-59.30645238159438
16000,-62.39808793783473
16500,-59.36068623408387
17000,-59.77849423413868
17500,-59.42026851891984
18000,-60.93293201734354
18500,-61.48943468823988
19000,-57.967670359294964
19500,-60.790289069663956
20000,-60.38885929974574
20500,-55.93375063153706
21000,-60.61380316360651
21500,-59.38105690592019
22000,-59.20236605323387
22500,-58.98953528044169
23000,-61.33259494672353
23500,-59.614515560574475
24000,-58.80184071535007
24500,-56.11690414786272
25000,-56.47675668876486
25500,-61.3301863375879
26000,-59.09765410598567
26500,-60.359113056275035
27000,-62.36529622688958
27500,-59.44292009150868
28000,-56.661016417652284
28500,-56.00022515521024
29000,-62.71611715079459
29500,-60.632317362648315
30000,-59.562983932622316
