episode,run_0
500,-144.3228597791341
1000,-143.23722349770793
1500,-204.25640814511252
2000,-78.19356437430476
2500,-61.26622040479134
3000,-54.184097931073744
3500,-52.81121565301815
4000,-50.31117960847942
4500,-46.27019611688526
5000,-44.927067282073665
5500,-45.12015599377017
6000,-46.678130590832
6500,-45.66165612902519
7000,-43.92148950071323
7500,-43.19338193386387
8000,-49.897452500558636
8500,-46.08096922781313
9000,-43.34866131504745
9500,-44.8408922006268
10000,-44.43768256523288
10500,-49.75315493530098
11000,-42.33397118451286
11500,-41.99527009569205
12000,-42.914901591962376
12500,-46.9429009508766
13000,-44.77155030848549
13500,-45.971212767508206
14000,-42.99295820210998
14500,-44.02113388455065
15000,-47.856612058553644
15500,-46.8911695043833
16000,-49.45563744579454
16500,-47.207118475498355
17000,-46.098749109158234
17500,-47.914653066757424
18000,-48.441835152122515
18500,-46.46510584551696
19000,-44.788068062501935
19500,-47.633510534940264
20000,-47.80305032384719
20500,-43.22846488089237
21000,-47.82412202582885
21500,-57.158720975527146
22000,-48.0265952351572
22500,-51.03815923078573
23000,-67.5463402533607
23500,-67.38487288938413
24000,-63.63969378935409
24500,-60.607105212401855
25000,-60.212450471308095
25500,-63.749734464021486
26000,-62.53667610223217
26500,-62.75553987732804
27000,-64.8321374241936
27500,-61.70221367477371
28000,-60.48778449686727
28500,-58.93260098206605
29000,-64.743724734996
29500,-62.30956705829436
30000,-62.677358848258955
