episode,run_0
500,-166.4867037515419
1000,-158.24455334422075
1500,-254.50470701777726
2000,-84.46405130711747
2500,-66.36289013535162
3000,-62.63122849223559
3500,-66.37297355275312
4000,-64.94957363831287
4500,-64.27702994678985
5000,-61.02692119253037
5500,-61.68295814290334
6000,-60.903987859012716
6500,-61.69964954691522
7000,-57.061861671306566
7500,-54.49521672944636
8000,-58.834817462923446
8500,-50.79931558509887
9000,-47.854716982146485
9500,-47.007847433979244
10000,-45.700440487041675
10500,-49.98321463009776
11000,-44.321632487445456
11500,-42.44618856146255
12000,-43.67362405938336
12500,-46.49028522286341
13000,-45.557973803412416
13500,-45.721273740475205
14000,-42.0234806172377
14500,-43.36551530324611
15000,-46.398446407517476
15500,-45.21394005270313
16000,-46.958912530653585
16500,-44.36217182093937
17000,-44.84953366578411
17500,-44.57933173633504
18000,-46.50405686912648
18500,-43.99843359942004
19000,-42.31342444321537
19500,-44.656850240814016
20000,-45.439634112691046
20500,-41.34821268473381
21000,-46.817037159230864
21500,-42.88692140578397
22000,-43.674956703494516
22500,-42.71265984214442
23000,-46.14604700978637
23500,-41.42352277051982
24000,-42.52214061969202
24500,-40.557793771838696
25000,-39.89116149944914
25500,-42.245513207805914
26000,-37.56588809009238
26500,-39.41339357180125
27000,-40.1657219587211
27500,-36.10493900055153
28000,-34.66303462147015
28500,-33.43340595476579
29000,-36.85360474164469
29500,-34.517728638540454
30000,-34.94752950349636
