episode,run_0
500,-667.3412129645532
1000,-663.2255600019934
1500,-855.0622041587683
2000,-634.8617010276736
2500,-587.8089835025316
3000,-587.6078032147702
3500,-591.2153532562887
4000,-557.8433916774254
4500,-543.0318232462837
5000,-536.5823939555089
5500,-527.1451201810231
6000,-529.9592897307987
6500,-518.7361232274524
7000,-516.7506848359048
7500,-510.6247372324844
8000,-512.4100287932304
8500,-515.6687829246456
9000,-513.1318754764438
9500,-505.8176831000993
10000,-502.9952865802394
10500,-500.29677736163035
11000,-503.4098405608921
11500,-500.98689440481894
12000,-503.96973617995985
12500,-505.26305600519095
13000,-507.1242107428203
13500,-500.64048050551617
14000,-500.53103223401433
14500,-504.808057526771
15000,-502.61719020335863
15500,-494.95724408071624
16000,-495.2492251245566
16500,-486.48653362912023
17000,-489.5101181780248
17500,-485.76518712819814
18000,-484.42905124484423
18500,-479.62768691364494
19000,-486.47044249400346
19500,-484.4641897828707
20000,-478.468520668103
20500,-473.8344876175318
21000,-478.8771370762391
21500,-473.684399258354
22000,-477.6876146663329
22500,-474.1592051167319
23000,-470.32816427836934
23500,-472.8763188950415
24000,-476.2529375454701
24500,-464.6400733177726
25000,-467.3703892744577
25500,-464.1254250335124
26000,-464.9716558470342
26500,-469.1933153489227
27000,-466.5936381148427
27500,-464.4278215967423
28000,-462.71581122354735
28500,-466.50074601614534
29000,-464.2762050346569
29500,-463.3072455009896
30000,-463.1386741827398
