episode,run_0
500,-664.995589190415
1000,-658.1115546091667
1500,-779.2543827037424
2000,-663.2993507616378
2500,-599.5297525245792
3000,-580.9456913593365
3500,-576.1047678362658
4000,-556.3909738203586
4500,-537.8550883438453
5000,-541.2021319187729
5500,-527.2034024909406
6000,-531.160617307465
6500,-518.2291404021078
7000,-514.0375983144213
7500,-504.8691743520251
8000,-504.8198338691905
8500,-502.18735555828033
9000,-497.61610167220863
9500,-491.42514097748335
10000,-482.0792654286429
10500,-475.3186120633549
11000,-481.29450421544493
11500,-482.3761654140634
12000,-472.3436004150308
12500,-481.76620743366294
13000,-471.8740229513009
13500,-463.99123794448
14000,-468.4384130037336
14500,-469.49125338314184
15000,-464.8224188124463
15500,-461.2007757158504
16000,-457.78566583242804
16500,-463.016617881973
17000,-460.0720434307025
17500,-452.77345261800974
18000,-449.61349980803385
18500,-452.2854869937475
19000,-453.6884779867415
19500,-457.27687517065834
20000,-453.5324744554518
20500,-453.1206419344824
21000,-457.71412797651175
21500,-454.88481859893085
22000,-446.52490551718944
22500,-448.63758426204896
23000,-448.65816995292676
23500,-448.66368047377364
24000,-449.6841873356607
24500,-449.863344646532
25000,-447.1656709047899
25500,-444.8399528763826
26000,-445.79787144392475
26500,-444.0257872021528
27000,-446.244753719546
27500,-443.38798190707564
28000,-438.26085819893854
28500,-445.7555273598387
29000,-445.98610820658854
29500,-443.25470990640275
30000,-441.0241970301913
