episode,run_0
500,-669.428312041417
1000,-663.4385855604543
1500,-822.9949431426023
2000,-661.2191007796905
2500,-595.4341061333497
3000,-573.3747172525091
3500,-572.9145552904162
4000,-547.5696275228318
4500,-536.8045109240187
5000,-529.6364118621464
5500,-515.8229734203497
6000,-517.9984581906364
6500,-509.04917971914017
7000,-508.26213189435583
7500,-497.91419606281994
8000,-499.6897040035156
8500,-502.2613561652357
9000,-503.5294608410627
9500,-495.74236420816965
10000,-488.5947779061507
10500,-487.28758927212897
11000,-493.8085152955915
11500,-493.52212481667146
12000,-486.94525690505407
12500,-486.6637462098296
13000,-486.13925211446804
13500,-474.2356415530924
14000,-476.05389630845804
14500,-477.2110639810365
15000,-480.8477973717904
15500,-475.81557050985236
16000,-471.010886559239
16500,-470.6363453606307
17000,-470.69713944444703
17500,-462.78385355569304
18000,-461.5352655284893
18500,-468.6955576338383
19000,-465.20277426571374
19500,-469.91923471867085
20000,-462.29426406331424
20500,-462.59177972626804
21000,-467.0513429234611
21500,-467.35489191866793
22000,-456.9297117060055
22500,-465.33734991860206
23000,-461.2919158640795
23500,-466.554238997497
24000,-462.7636709370912
24500,-460.3941284591738
25000,-459.02137054433683
25500,-452.9397916459225
26000,-462.43502537152636
26500,-458.4940071656456
27000,-456.15631880485336
27500,-446.87527128453274
28000,-453.6299131858873
28500,-456.2093865755566
29000,-453.107767416303
29500,-444.35038664900964
30000,-451.1435050576521
