episode,run_0
500,-670.0866603407634
1000,-658.331435572845
1500,-734.2014888966002
2000,-789.9585535416635
2500,-811.2184994591339
3000,-695.837925428366
3500,-603.5512870929246
4000,-583.0754420918831
4500,-613.3743643214593
5000,-632.1801219455791
5500,-597.5875634237011
6000,-575.5834714542843
6500,-560.3161553966287
7000,-559.057331711833
7500,-543.220942701607
8000,-537.8509580306974
8500,-543.5851739906375
9000,-546.7055075827978
9500,-544.0024828614954
10000,-533.4838815368698
10500,-531.0133300669594
11000,-527.7037139223715
11500,-525.593629677223
12000,-522.5480276941805
12500,-520.1672118564666
13000,-516.1191114230613
13500,-510.4534930363941
14000,-507.10715208611316
14500,-510.77924199293403
15000,-504.9539067609935
15500,-500.1432772612156
16000,-494.3558486200494
16500,-494.18754697571757
17000,-496.7714262852789
17500,-490.2944683807376
18000,-484.3015126182633
18500,-485.71321169249
19000,-496.4424212694056
19500,-487.36504533654545
20000,-478.9084690644192
20500,-477.8317225553077
21000,-484.38893138500606
21500,-480.2130120234022
22000,-478.74876173175346
22500,-480.9154478444585
23000,-473.53598434259897
23500,-474.560638811653
24000,-475.8210249623181
24500,-477.19321569975114
25000,-476.07211715574624
25500,-469.03552504097064
26000,-471.60290341334826
26500,-476.57222564189027
27000,-477.434686366942
27500,-468.9959449682436
28000,-470.4629792904475
28500,-467.7869049346526
29000,-476.8666165679535
29500,-469.5163669572332
30000,-473.2126834433811
