act_noise_std,act_only_reward,joint_reward,obs_noise_std,obs_only_reward
0.0,3.98,3.67,0.0,3.89
0.0,3.98,2.10,0.4,1.99
0.0,3.98,-0.91,0.8,-0.72
0.0,3.98,-3.30,1.2,-3.38
0.4,1.53,2.36,0.0,3.89
0.4,1.53,0.07,0.4,1.99
0.4,1.53,-2.38,0.8,-0.72
0.4,1.53,-5.65,1.2,-3.38
0.8,-1.30,-1.92,0.0,3.89
0.8,-1.30,-4.13,0.4,1.99
0.8,-1.30,-7.44,0.8,-0.72
0.8,-1.30,-10.41,1.2,-3.38
1.2,-6.05,-6.62,0.0,3.89
1.2,-6.05,-8.95,0.4,1.99
1.2,-6.05,-11.86,0.8,-0.72
1.2,-6.05,-15.43,1.2,-3.38
1.6,-11.27,-11.23,0.0,3.89
1.6,-11.27,-13.05,0.4,1.99
1.6,-11.27,-17.14,0.8,-0.72
1.6,-11.27,-19.14,1.2,-3.38
2.0,-14.66,-14.98,0.0,3.89
2.0,-14.66,-18.03,0.4,1.99
2.0,-14.66,-20.51,0.8,-0.72
2.0,-14.66,-22.33,1.2,-3.38
