act_noise_std,act_only_reward,joint_reward,obs_noise_std,obs_only_reward
0.0,16.89,16.93,0.0,17.00
0.0,16.89,-12.52,0.4,-12.36
0.0,16.89,-20.54,0.8,-20.88
0.0,16.89,-23.14,1.2,-22.65
0.4,-21.39,-21.86,0.0,17.00
0.4,-21.39,-27.62,0.4,-12.36
0.4,-21.39,-32.81,0.8,-20.88
0.4,-21.39,-33.65,1.2,-22.65
0.8,-51.48,-50.77,0.0,17.00
0.8,-51.48,-52.89,0.4,-12.36
0.8,-51.48,-55.34,0.8,-20.88
0.8,-51.48,-56.80,1.2,-22.65
1.2,-69.23,-70.19,0.0,17.00
1.2,-69.23,-70.59,0.4,-12.36
1.2,-69.23,-71.80,0.8,-20.88
1.2,-69.23,-72.58,1.2,-22.65
1.6,-81.29,-82.20,0.0,17.00
1.6,-81.29,-81.53,0.4,-12.36
1.6,-81.29,-83.34,0.8,-20.88
1.6,-81.29,-82.51,1.2,-22.65
2.0,-89.25,-89.05,0.0,17.00
2.0,-89.25,-90.13,0.4,-12.36
2.0,-89.25,-90.23,0.8,-20.88
2.0,-89.25,-89.99,1.2,-22.65
