act_noise_std,act_only_reward,joint_reward,obs_noise_std,obs_only_reward
0.0,-8.62,-8.83,0.0,-8.70
0.0,-8.62,-13.73,0.4,-13.73
0.0,-8.62,-16.78,0.8,-16.72
0.0,-8.62,-18.17,1.2,-18.80
0.4,-10.63,-10.82,0.0,-8.70
0.4,-10.63,-14.96,0.4,-13.73
0.4,-10.63,-17.67,0.8,-16.72
0.4,-10.63,-19.39,1.2,-18.80
0.8,-15.68,-15.25,0.0,-8.70
0.8,-15.68,-17.91,0.4,-13.73
0.8,-15.68,-20.41,0.8,-16.72
0.8,-15.68,-21.48,1.2,-18.80
1.2,-19.32,-19.34,0.0,-8.70
1.2,-19.32,-21.44,0.4,-13.73
1.2,-19.32,-22.76,0.8,-16.72
1.2,-19.32,-24.58,1.2,-18.80
1.6,-22.03,-22.28,0.0,-8.70
1.6,-22.03,-23.76,0.4,-13.73
1.6,-22.03,-24.83,0.8,-16.72
1.6,-22.03,-26.78,1.2,-18.80
2.0,-24.59,-23.88,0.0,-8.70
2.0,-24.59,-24.72,0.4,-13.73
2.0,-24.59,-27.14,0.8,-16.72
2.0,-24.59,-28.19,1.2,-18.80
