act_noise_std,act_only_reward,joint_reward,obs_noise_std,obs_only_reward
0.0,-36.03,-34.95,0.0,-34.28
0.0,-36.03,-51.42,0.4,-49.71
0.0,-36.03,-66.30,0.8,-66.17
0.0,-36.03,-77.16,1.2,-79.26
0.4,-44.35,-43.72,0.0,-34.28
0.4,-44.35,-61.34,0.4,-49.71
0.4,-44.35,-80.86,0.8,-66.17
0.4,-44.35,-86.85,1.2,-79.26
0.8,-68.03,-65.76,0.0,-34.28
0.8,-68.03,-79.81,0.4,-49.71
0.8,-68.03,-96.58,0.8,-66.17
0.8,-68.03,-113.85,1.2,-79.26
1.2,-85.90,-93.21,0.0,-34.28
1.2,-85.90,-98.89,0.4,-49.71
1.2,-85.90,-116.20,0.8,-66.17
1.2,-85.90,-128.31,1.2,-79.26
1.6,-111.28,-115.14,0.0,-34.28
1.6,-111.28,-126.97,0.4,-49.71
1.6,-111.28,-144.20,0.8,-66.17
1.6,-111.28,-153.92,1.2,-79.26
2.0,-139.79,-133.42,0.0,-34.28
2.0,-139.79,-135.37,0.4,-49.71
2.0,-139.79,-149.88,0.8,-66.17
2.0,-139.79,-178.07,1.2,-79.26
