act_noise_std,act_only_reward,joint_reward,obs_noise_std,obs_only_reward
0.0,-470.74,-471.75,0.0,-472.77
0.0,-470.74,-501.68,0.4,-500.90
0.0,-470.74,-553.23,0.8,-553.34
0.0,-470.74,-587.10,1.2,-580.09
0.4,-480.51,-479.50,0.0,-472.77
0.4,-480.51,-525.50,0.4,-500.90
0.4,-480.51,-574.01,0.8,-553.34
0.4,-480.51,-597.87,1.2,-580.09
0.8,-521.91,-528.07,0.0,-472.77
0.8,-521.91,-564.89,0.4,-500.90
0.8,-521.91,-604.97,0.8,-553.34
0.8,-521.91,-633.01,1.2,-580.09
1.2,-567.51,-567.29,0.0,-472.77
1.2,-567.51,-598.73,0.4,-500.90
1.2,-567.51,-643.44,0.8,-553.34
1.2,-567.51,-660.86,1.2,-580.09
1.6,-606.77,-608.24,0.0,-472.77
1.6,-606.77,-631.74,0.4,-500.90
1.6,-606.77,-659.51,0.8,-553.34
1.6,-606.77,-683.54,1.2,-580.09
2.0,-636.75,-639.04,0.0,-472.77
2.0,-636.75,-653.30,0.4,-500.90
2.0,-636.75,-685.11,0.8,-553.34
2.0,-636.75,-700.70,1.2,-580.09
