act_noise_std,act_only_reward,joint_reward,obs_noise_std,obs_only_reward
0.0,-8.90,-8.74,0.0,-8.45
0.0,-8.98,-14.06,0.4,-13.86
0.0,-8.71,-16.61,0.8,-16.71
0.0,-9.11,-18.40,1.2,-17.80
0.4,-10.58,-10.97,0.0,-8.62
0.4,-10.65,-15.40,0.4,-13.98
0.4,-10.93,-18.15,0.8,-16.31
0.4,-10.98,-19.79,1.2,-17.98
0.8,-15.09,-15.33,0.0,-8.83
0.8,-14.66,-18.06,0.4,-13.83
0.8,-15.53,-20.47,0.8,-16.12
0.8,-15.47,-22.29,1.2,-17.82
1.2,-19.37,-19.55,0.0,-8.80
1.2,-19.14,-21.18,0.4,-14.20
1.2,-19.79,-22.84,0.8,-16.85
1.2,-18.66,-24.29,1.2,-17.99
1.6,-22.45,-22.16,0.0,-8.89
1.6,-22.23,-24.48,0.4,-14.28
1.6,-22.23,-25.63,0.8,-16.88
1.6,-22.26,-26.15,1.2,-18.11
2.0,-23.64,-24.21,0.0,-8.94
2.0,-24.61,-25.19,0.4,-14.40
2.0,-25.36,-26.57,0.8,-16.79
2.0,-24.54,-27.80,1.2,-17.62
