act_noise_std,act_only_reward,joint_reward,obs_noise_std,obs_only_reward
0.0,-455.07,-455.06,0.0,-448.97
0.0,-455.38,-502.76,0.4,-497.99
0.0,-458.77,-547.35,0.8,-553.02
0.0,-455.29,-586.43,1.2,-585.00
0.4,-468.65,-467.72,0.0,-449.83
0.4,-469.36,-521.78,0.4,-500.03
0.4,-470.26,-571.51,0.8,-548.02
0.4,-475.02,-593.55,1.2,-578.24
0.8,-514.41,-517.57,0.0,-454.74
0.8,-516.98,-569.71,0.4,-501.06
0.8,-513.55,-604.37,0.8,-555.26
0.8,-513.62,-633.77,1.2,-582.95
1.2,-561.78,-562.31,0.0,-454.00
1.2,-562.34,-597.42,0.4,-498.26
1.2,-563.72,-638.74,0.8,-555.35
1.2,-560.17,-655.91,1.2,-585.37
1.6,-599.74,-602.88,0.0,-446.24
1.6,-601.73,-624.40,0.4,-494.96
1.6,-608.72,-665.80,0.8,-555.21
1.6,-600.54,-687.95,1.2,-584.23
2.0,-636.50,-630.45,0.0,-453.30
2.0,-635.29,-649.07,0.4,-495.80
2.0,-627.72,-686.27,0.8,-553.41
2.0,-637.74,-711.90,1.2,-589.16
