act_noise_std,act_only_reward,joint_reward,obs_noise_std,obs_only_reward
0.0,9.82,7.82,0.0,8.69
0.0,10.11,9.03,0.4,9.14
0.0,9.26,8.25,0.8,9.18
0.0,9.52,7.29,1.2,6.16
0.4,9.48,8.80,0.0,9.22
0.4,10.90,7.95,0.4,9.98
0.4,9.05,7.73,0.8,9.47
0.4,9.86,6.41,1.2,7.85
0.8,9.46,8.69,0.0,9.78
0.8,7.83,9.36,0.4,9.65
0.8,8.93,6.99,0.8,8.06
0.8,8.10,3.39,1.2,7.45
1.2,8.92,7.57,0.0,9.70
1.2,9.11,6.62,0.4,9.17
1.2,7.22,3.31,0.8,7.98
1.2,6.78,3.03,1.2,6.10
1.6,6.13,4.67,0.0,9.29
1.6,5.67,4.82,0.4,9.35
1.6,5.59,1.54,0.8,8.53
1.6,5.89,-0.80,1.2,8.02
2.0,3.44,2.44,0.0,8.78
2.0,3.21,1.02,0.4,9.41
2.0,3.92,-0.15,0.8,8.79
2.0,2.52,-2.89,1.2,7.32
