act_noise_std,act_only_reward,joint_reward,obs_noise_std,obs_only_reward
0.0,4.75,4.37,0.0,4.44
0.0,4.29,1.80,0.4,1.90
0.0,4.66,-1.38,0.8,-1.09
0.0,4.87,-4.91,1.2,-4.95
0.4,3.08,2.46,0.0,4.48
0.4,2.89,0.27,0.4,1.95
0.4,2.93,-3.23,0.8,-1.61
0.4,3.37,-8.06,1.2,-5.27
0.8,-0.61,-0.82,0.0,4.42
0.8,-0.89,-4.68,0.4,1.57
0.8,-0.85,-8.44,0.8,-1.77
0.8,-0.70,-12.37,1.2,-4.35
1.2,-5.22,-5.44,0.0,4.47
1.2,-5.82,-9.09,0.4,1.95
1.2,-5.25,-14.06,0.8,-1.09
1.2,-5.87,-16.58,1.2,-5.11
1.6,-11.32,-10.90,0.0,4.71
1.6,-11.46,-12.78,0.4,2.04
1.6,-10.19,-17.57,0.8,-1.38
1.6,-10.47,-21.25,1.2,-5.34
2.0,-13.77,-14.94,0.0,4.40
2.0,-15.27,-16.57,0.4,2.04
2.0,-14.44,-21.81,0.8,-1.62
2.0,-16.31,-25.24,1.2,-5.23
