act_noise_std,act_only_reward,joint_reward,obs_noise_std,obs_only_reward
0.0,-6.87,-6.64,0.0,-7.25
0.0,-7.10,-17.04,0.4,-16.78
0.0,-6.33,-21.81,0.8,-21.73
0.0,-5.65,-24.48,1.2,-25.20
0.4,-26.42,-27.29,0.0,-6.91
0.4,-26.18,-30.45,0.4,-17.03
0.4,-26.50,-33.25,0.8,-20.65
0.4,-26.19,-35.25,1.2,-24.95
0.8,-53.40,-53.93,0.0,-6.10
0.8,-53.11,-53.31,0.4,-16.91
0.8,-52.21,-55.87,0.8,-21.76
0.8,-54.94,-55.95,1.2,-23.77
1.2,-71.89,-70.90,0.0,-6.64
1.2,-71.71,-71.91,0.4,-17.12
1.2,-71.24,-72.35,0.8,-23.05
1.2,-70.48,-73.14,1.2,-23.21
1.6,-82.32,-83.05,0.0,-6.14
1.6,-82.18,-82.70,0.4,-16.90
1.6,-81.75,-83.26,0.8,-22.95
1.6,-82.69,-83.85,1.2,-24.18
2.0,-89.62,-90.16,0.0,-7.18
2.0,-89.41,-91.19,0.4,-16.04
2.0,-89.96,-89.19,0.8,-21.69
2.0,-89.79,-90.39,1.2,-24.52
