act_noise_std,act_only_reward,joint_reward,obs_noise_std,obs_only_reward
0.0,-43.37,-47.95,0.0,-45.68
0.0,-44.44,-53.99,0.4,-54.25
0.0,-45.58,-67.19,0.8,-64.77
0.0,-46.30,-78.61,1.2,-79.94
0.4,-50.09,-53.32,0.0,-44.92
0.4,-51.04,-62.64,0.4,-54.22
0.4,-50.61,-78.89,0.8,-69.46
0.4,-51.89,-85.73,1.2,-80.15
0.8,-74.80,-70.03,0.0,-47.68
0.8,-71.40,-79.81,0.4,-53.72
0.8,-71.55,-92.91,0.8,-68.62
0.8,-67.07,-109.65,1.2,-80.01
1.2,-92.48,-93.59,0.0,-46.81
1.2,-93.65,-103.70,0.4,-56.30
1.2,-90.64,-120.60,0.8,-67.69
1.2,-94.68,-128.50,1.2,-78.37
1.6,-118.74,-112.83,0.0,-46.48
1.6,-110.47,-120.51,0.4,-54.59
1.6,-118.78,-132.30,0.8,-67.32
1.6,-113.95,-146.63,1.2,-78.03
2.0,-133.69,-136.99,0.0,-46.50
2.0,-130.70,-135.81,0.4,-55.11
2.0,-133.68,-157.00,0.8,-66.12
2.0,-136.85,-158.80,1.2,-76.88
