act_noise_std,best_k_start,best_reward_denoised,obs_noise_std,recovery_ratio,reward_clean,reward_k10,reward_k20,reward_k40,reward_k5,reward_noisy
0.0,5,8.79,0.0,-0.957,8.64,8.12,-31.20,-16.66,8.79,12.15
0.4,5,6.94,0.0,-1.797,8.64,4.97,-54.81,-17.78,6.94,10.77
0.8,5,7.25,0.0,-2.906,8.64,-9.51,-58.80,-7.94,7.25,9.36
1.2,5,1.98,0.0,-7.754,8.64,-15.77,-72.07,-16.13,1.98,7.88
1.6,5,-1.11,0.0,-4.293,8.64,-21.69,-68.75,-17.45,-1.11,6.79
2.0,5,-6.30,0.0,-1.844,8.64,-28.21,-65.03,-15.66,-6.30,3.39
0.0,10,6.87,0.4,-2.149,8.64,6.87,-39.71,-18.78,6.56,10.18
0.4,5,7.23,0.4,-4.174,8.64,2.92,-60.69,-20.57,7.23,9.08
0.8,5,6.77,0.4,-2.414,8.64,-12.34,-68.30,-14.30,6.77,9.96
1.2,5,-1.76,0.4,-2.566,8.64,-17.82,-65.18,-11.75,-1.76,5.72
1.6,5,-2.16,0.4,-1.487,8.64,-22.24,-70.06,-15.66,-2.16,4.29
2.0,5,-8.85,0.4,-1.247,8.64,-32.08,-75.58,-19.78,-8.85,0.86
0.0,5,8.40,0.8,0.767,8.64,4.24,-54.78,-31.85,8.40,7.60
0.4,5,7.75,0.8,-2.321,8.64,-5.08,-65.17,-20.39,7.75,9.31
0.8,5,-1.03,0.8,-3.727,8.64,-11.19,-61.10,-16.77,-1.03,6.59
1.2,5,-2.46,0.8,-1.615,8.64,-23.38,-64.98,-24.77,-2.46,4.40
1.6,5,-11.17,0.8,-1.588,8.64,-30.73,-76.61,-21.60,-11.17,0.99
2.0,5,-14.12,0.8,-1.065,8.64,-33.37,-79.65,-20.43,-14.12,-2.39
0.0,5,6.33,1.2,-1.718,8.64,-6.48,-65.58,-39.55,6.33,7.79
0.4,5,3.47,1.2,-1.049,8.64,-16.01,-70.73,-27.86,3.47,6.12
0.8,5,-3.80,1.2,-1.599,8.64,-24.39,-70.78,-24.14,-3.80,3.85
1.2,5,-9.98,1.2,-1.604,8.64,-31.63,-72.81,-23.40,-9.98,1.49
1.6,5,-12.24,1.2,-1.267,8.64,-33.71,-74.45,-27.46,-12.24,-0.57
2.0,5,-16.78,1.2,-1.343,8.64,-39.75,-78.16,-29.70,-16.78,-2.21
