act_noise_std,best_k_start,best_reward_denoised,obs_noise_std,recovery_ratio,reward_clean,reward_k10,reward_k20,reward_k40,reward_k5,reward_noisy
0.0,5,10.25,0.0,1.478,8.55,7.62,10.02,8.64,10.25,9.23
0.4,5,8.20,0.0,-1.410,8.55,6.41,8.10,4.84,8.20,9.38
0.8,5,8.10,0.0,-1.671,8.55,4.51,0.12,-0.48,8.10,9.21
1.2,5,5.33,0.0,-8.784,8.55,1.13,-4.80,-6.56,5.33,8.22
1.6,5,2.89,0.0,-0.622,8.55,-0.88,-10.84,-4.91,2.89,5.06
2.0,5,-0.71,0.0,-1.088,8.55,-2.91,-13.30,-9.84,-0.71,4.11
0.0,10,9.87,0.4,6.214,8.55,9.87,7.71,4.93,8.34,8.29
0.4,10,8.75,0.4,-0.293,8.55,8.75,6.17,2.01,8.11,8.83
0.8,5,6.02,0.4,-5.454,8.55,4.93,-1.09,-4.04,6.02,8.16
1.2,5,4.12,0.4,-1.346,8.55,-1.23,-7.58,-5.30,4.12,6.66
1.6,5,1.05,0.4,-0.551,8.55,-3.07,-10.92,-8.51,1.05,3.72
2.0,5,-2.48,0.4,-0.840,8.55,-9.92,-16.76,-12.19,-2.48,2.55
0.0,10,8.18,0.8,0.313,8.55,8.18,7.04,3.27,8.03,8.01
0.4,5,7.15,0.8,-1.571,8.55,6.20,1.91,-2.21,7.15,10.99
0.8,5,1.77,0.8,-11.565,8.55,0.68,-6.20,-8.44,1.77,8.01
1.2,5,0.07,0.8,-0.817,8.55,-5.01,-9.10,-8.87,0.07,3.88
1.6,5,-3.07,0.8,-0.508,8.55,-5.46,-18.78,-15.23,-3.07,0.84
2.0,5,-8.18,0.8,-0.499,8.55,-10.61,-21.85,-18.81,-8.18,-2.61
0.0,5,7.40,1.2,0.107,8.55,6.89,0.59,-5.87,7.40,7.26
0.4,5,7.88,1.2,0.024,8.55,3.80,-7.43,-11.42,7.88,7.86
0.8,5,-0.72,1.2,-1.015,8.55,-4.42,-13.91,-13.18,-0.72,3.95
1.2,5,-3.82,1.2,-0.589,8.55,-8.71,-19.71,-17.75,-3.82,0.77
1.6,5,-9.11,1.2,-1.092,8.55,-12.41,-26.45,-20.29,-9.11,0.11
2.0,5,-11.63,1.2,-0.767,8.55,-14.58,-27.70,-16.38,-11.63,-2.87
