act_noise_std,best_k_start,best_reward_denoised,obs_noise_std,recovery_ratio,reward_clean,reward_k10,reward_k20,reward_k40,reward_k5,reward_noisy
0.0,5,8.39,0.0,-1.028,8.44,6.95,-11.21,-106.55,8.39,10.25
0.4,5,6.63,0.0,-1.644,8.44,-3.80,-35.60,-97.07,6.63,11.25
0.8,5,4.26,0.0,-2.695,8.44,-16.00,-50.69,-87.83,4.26,10.90
1.2,5,-2.43,0.0,-11.949,8.44,-30.25,-57.77,-77.79,-2.43,7.60
1.6,5,-5.25,0.0,-3.115,8.44,-25.98,-60.36,-71.23,-5.25,5.11
2.0,5,-8.23,0.0,-2.513,8.44,-35.68,-58.12,-69.01,-8.23,3.69
0.0,5,5.95,0.4,-1.723,8.44,-2.92,-29.69,-104.53,5.95,7.53
0.4,5,4.38,0.4,-2.230,8.44,-13.97,-52.58,-101.91,4.38,11.74
0.8,5,1.58,0.4,-4.427,8.44,-23.67,-55.72,-84.37,1.58,10.44
1.2,5,-2.76,0.4,-3.307,8.44,-35.14,-57.10,-74.46,-2.76,5.84
1.6,5,-4.75,0.4,-1.595,8.44,-32.12,-56.91,-72.46,-4.75,3.36
2.0,5,-8.51,0.4,-1.723,8.44,-38.42,-56.77,-71.07,-8.51,2.21
0.0,5,6.85,0.8,-13.874,8.44,-15.13,-50.09,-109.36,6.85,8.33
0.4,5,3.41,0.8,-15.690,8.44,-24.61,-64.71,-108.31,3.41,8.78
0.8,5,-1.59,0.8,-0.995,8.44,-30.42,-60.68,-86.98,-1.59,3.41
1.2,5,-4.81,0.8,-1.862,8.44,-31.33,-62.63,-76.08,-4.81,3.81
1.6,5,-8.86,0.8,-1.174,8.44,-38.86,-64.91,-74.84,-8.86,0.48
2.0,5,-13.29,0.8,-1.771,8.44,-41.07,-62.16,-75.02,-13.29,0.60
0.0,5,5.85,1.2,-1.668,8.44,-20.35,-62.67,-113.91,5.85,7.47
0.4,5,0.73,1.2,-1.486,8.44,-25.23,-72.94,-103.74,0.73,5.34
0.8,5,-4.85,1.2,-4.211,8.44,-37.20,-67.40,-90.97,-4.85,5.89
1.2,5,-9.72,1.2,-1.536,8.44,-38.06,-60.44,-80.10,-9.72,1.28
1.6,5,-13.58,1.2,-2.340,8.44,-39.18,-68.43,-72.80,-13.58,1.85
2.0,5,-13.44,1.2,-0.902,8.44,-41.13,-70.02,-71.46,-13.44,-3.07
