act_noise_std,best_k_start,best_reward_denoised,obs_noise_std,recovery_ratio,reward_clean,reward_k10,reward_k20,reward_k40,reward_k5,reward_noisy
0.0,5,8.04,0.0,-0.255,10.07,7.73,-32.84,-117.74,8.04,8.46
0.4,10,7.58,0.0,-0.972,10.07,7.58,-38.36,-112.82,7.45,8.81
0.8,10,8.26,0.0,0.445,10.07,8.26,-40.01,-109.33,5.81,6.80
1.2,5,5.69,0.0,-0.026,10.07,4.85,-46.07,-105.50,5.69,5.80
1.6,10,2.18,0.0,-0.595,10.07,2.18,-46.88,-91.76,0.55,5.12
2.0,10,1.37,0.0,-0.150,10.07,1.37,-56.19,-104.52,-1.66,2.51
0.0,5,8.13,0.4,-0.154,10.07,6.77,-44.34,-113.28,8.13,8.39
0.4,10,9.07,0.4,-1.741,10.07,9.07,-44.50,-116.85,7.70,11.43
0.8,10,6.98,0.4,-7.299,10.07,6.98,-40.57,-108.97,6.54,9.70
1.2,5,3.90,0.4,-0.909,10.07,2.51,-46.74,-105.13,3.90,6.84
1.6,10,1.93,0.4,-0.427,10.07,1.93,-53.39,-99.49,-0.77,4.37
2.0,5,-2.66,0.4,-1.058,10.07,-4.94,-54.20,-104.67,-2.66,3.89
0.0,5,9.04,0.8,0.165,10.07,7.38,-59.29,-114.24,9.04,8.84
0.4,5,7.80,0.8,-0.146,10.07,5.48,-54.04,-112.41,7.80,8.09
0.8,5,3.07,0.8,-1.166,10.07,0.55,-53.64,-115.02,3.07,6.84
1.2,5,-0.23,0.8,-0.833,10.07,-4.27,-49.23,-108.58,-0.23,4.45
1.6,10,-4.35,0.8,-0.984,10.07,-4.35,-56.24,-107.50,-7.09,2.80
2.0,10,-4.88,0.8,-0.453,10.07,-4.88,-49.31,-108.40,-6.20,-0.21
0.0,5,7.17,1.2,-0.052,10.07,1.75,-59.19,-117.94,7.17,7.31
0.4,5,6.13,1.2,-0.476,10.07,-1.49,-56.00,-116.99,6.13,7.40
0.8,5,-0.60,1.2,-0.915,10.07,-5.17,-52.44,-105.78,-0.60,4.50
1.2,5,-4.11,1.2,-1.102,10.07,-9.17,-54.30,-107.76,-4.11,3.33
1.6,5,-8.41,1.2,-0.784,10.07,-13.89,-53.85,-103.37,-8.41,-0.29
2.0,5,-12.18,1.2,-0.751,10.07,-15.43,-52.30,-106.41,-12.18,-2.64
