episode,run_0
500,-135.04608983741716
1000,-136.25234810736563
1500,-273.5027440800419
2000,-93.69860707781874
2500,-68.87586542476028
3000,-59.637059211211955
3500,-55.7563142615133
4000,-48.57617545599626
4500,-47.69351843044126
5000,-45.180989380533994
5500,-45.76282397856475
6000,-45.47809749858486
6500,-43.15807024453746
7000,-44.72521748409227
7500,-44.490468527192256
8000,-49.84647048523299
8500,-46.81362100393741
9000,-45.579335479171135
9500,-45.71246861389219
10000,-46.51155349419719
10500,-48.73602890637818
11000,-42.889135030830126
11500,-42.75715881282484
12000,-42.19355935679063
12500,-42.089145637089764
13000,-46.42706945992187
13500,-45.67221085498383
14000,-44.21170168982086
14500,-43.202424413950126
15000,-45.889859925232834
15500,-44.988097544010714
16000,-46.81108778554507
16500,-44.855114532857854
17000,-45.89710771736982
17500,-44.80238522277379
18000,-46.477344103500535
18500,-46.24200850484177
19000,-43.39437457562814
19500,-46.04137697014412
20000,-47.34073098195522
20500,-42.75120851797132
21000,-47.35170051122996
21500,-44.24836724297811
22000,-45.75162113677216
22500,-46.13209877560556
23000,-46.821170562345365
23500,-46.27735268164377
24000,-44.82688392380481
24500,-42.79734197943579
25000,-42.913270371188354
25500,-45.43606420651346
26000,-45.75279434549174
26500,-47.3627294502976
27000,-46.74196383884504
27500,-44.487763148379415
28000,-44.2621939130491
28500,-42.94619238009701
29000,-46.11269761040426
29500,-43.424626580737716
30000,-45.5798671958795
30500,-44.235226725913
31000,-45.32843346791505
31500,-45.44727152805227
32000,-45.4392906481274
32500,-43.23750716074643
33000,-42.728119335734625
33500,-42.67097055908171
34000,-44.11622699216091
34500,-44.73806953607885
35000,-47.81525221324033
35500,-45.1048157573074
36000,-41.160956523558475
36500,-44.64626024758012
37000,-42.83739668105176
37500,-48.22769258663866
38000,-44.29549399958143
38500,-43.988797125179445
39000,-42.34857778129776
39500,-41.4258140904357
40000,-40.757466567367636
40500,-42.15137369833514
41000,-42.61102848987569
41500,-43.17210650820112
42000,-44.66552480201092
42500,-44.00029475725449
43000,-41.8632180598617
43500,-43.47492773197421
44000,-46.07736328579238
44500,-43.81055087115767
45000,-42.696377731658025
45500,-44.835847957968056
46000,-42.88488441188877
46500,-42.140341529104276
47000,-43.156958477309324
47500,-44.0410874116372
48000,-42.79141610150526
48500,-40.25058125183133
49000,-41.76343239338734
49500,-42.769732777602556
50000,-42.41445280942766
50500,-41.9730924939213
51000,-43.26620452149009
51500,-42.60731742104608
52000,-41.86660644055145
52500,-43.732023407453106
53000,-42.711665213845656
53500,-56.71269772641469
54000,-47.104898326931966
54500,-45.56090587447896
55000,-42.66322870464914
55500,-48.97652688691367
56000,-47.34637501678713
56500,-45.34598616695169
57000,-43.55009477921652
57500,-43.30144960801373
58000,-44.19941617387207
58500,-45.70151507311272
59000,-50.60498499353959
59500,-53.0572814155138
60000,-42.48694538324295
