noise_mu,action_noise_std,reward_no_noise,reward_noise_no_diffusion,reward_with_diff_t20,reward_with_diff_t40,best_reward_with_diffusion,pct_inc_vs_no_diffusion,pct_inc_vs_no_noise_worst
-0.50,0.00,21.12,-39.82,-21.22,-123.35,-21.22,46.71,-200.46
-0.50,0.50,21.12,-63.87,-37.92,-297.05,-37.92,40.62,-279.58
-0.50,1.00,21.12,-137.48,-117.68,-731.94,-117.68,14.40,-657.22
-0.50,1.50,21.12,-267.85,-229.37,-1684.73,-229.37,14.37,-1186.11
-0.50,2.00,21.12,-455.74,-397.06,-3060.60,-397.06,12.88,-1980.11
-0.50,2.50,21.12,-641.41,-654.59,-4265.70,-654.59,-2.05,-3199.54
-0.50,3.00,21.12,-923.15,-936.49,-7067.61,-936.49,-1.44,-4534.38
0.50,0.00,21.12,-34.10,-32.41,-324.93,-32.41,4.95,-253.45
0.50,0.50,21.12,-59.53,-61.08,-420.96,-61.08,-2.61,-389.23
0.50,1.00,21.12,-142.22,-138.45,-953.48,-138.45,2.65,-755.57
0.50,1.50,21.12,-272.81,-279.97,-1920.23,-279.97,-2.62,-1425.68
0.50,2.00,21.12,-429.64,-452.68,-3469.85,-452.68,-5.36,-2243.47
0.50,2.50,21.12,-682.76,-751.57,-5332.58,-751.57,-10.08,-3658.74
0.50,3.00,21.12,-968.38,-998.68,-6486.50,-998.68,-3.13,-4828.86
