episode,run_0
500,-26.413330334287238
1000,-27.192986284701437
1500,-26.444058093485392
2000,-29.494389779861994
2500,-33.80560164329392
3000,-33.7972383528877
3500,-26.454660549877744
4000,-23.365180244156146
4500,-18.430748554112796
5000,-17.299589810397507
5500,-16.122096637266374
6000,-14.68826645866979
6500,-15.1279833943109
7000,-14.485171309497357
7500,-14.792237964785652
8000,-14.761794745984716
8500,-14.347235564879309
9000,-14.764114858590517
9500,-14.751606460014193
10000,-14.43983410668055
10500,-13.849370315772223
11000,-14.421586658333101
11500,-14.09396549928483
12000,-14.041877453658817
12500,-13.90925934429544
13000,-13.8683873629654
13500,-13.781363570244688
14000,-13.45225956272123
14500,-13.302185912538034
15000,-13.11762001574356
15500,-12.620357247737747
16000,-12.660286972248338
16500,-12.56619253068605
17000,-12.655768114717628
17500,-12.287118571532424
18000,-12.038714044875316
18500,-11.803275949556763
19000,-11.520563068870949
19500,-12.052460746254445
20000,-12.120081567893601
20500,-12.057556678442326
21000,-11.886785210611368
21500,-11.726044522977244
22000,-11.409814996854614
22500,-11.264106860850305
23000,-11.33025429171581
23500,-11.182166521147789
24000,-11.210798539091574
24500,-11.00688184689486
25000,-11.222912660434424
25500,-11.068950041289769
26000,-11.033539191058813
26500,-11.093373475801553
27000,-10.862997209608595
27500,-10.763328411709237
28000,-10.770182771396023
28500,-10.39846763885398
29000,-10.543034080891953
29500,-10.863518305823257
30000,-10.629452572337353
